"No.","Time","Source","Destination","Protocol","Length","Info"
"18","3.447673","192.168.0.105","192.168.0.104","TCP","54","59885  >  80 [RST, ACK] Seq=1 Ack=1 Win=24584 Len=0"
"19","3.447673","192.168.0.105","192.168.0.104","TCP","54","59885  >  80 [RST, ACK] Seq=1 Ack=1 Win=24584 Len=0"
"20","3.447673","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 17#1] 55821  >  80 [ACK] Seq=1 Ack=2 Win=1860 Len=0"
"21","3.447674","192.168.0.105","192.168.0.104","TCP","54","59885  >  80 [RST, ACK] Seq=1 Ack=1 Win=24584 Len=0"
"22","3.494001","192.168.0.105","192.168.0.104","TCP","54","58826  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"23","3.499793","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"24","3.501092","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 17#2] 55821  >  80 [ACK] Seq=1 Ack=2 Win=1860 Len=0"
"25","3.508112","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"26","3.546670","192.168.0.105","192.168.0.104","TCP","54","58826  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"27","3.546731","192.168.0.104","192.168.0.105","TCP","54","80  >  58826 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"28","3.546809","192.168.0.104","192.168.0.105","TCP","54","80  >  58826 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"29","3.555027","192.168.0.105","192.168.0.104","TCP","62","58353  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"30","3.555168","192.168.0.104","192.168.0.105","TCP","62","80  >  58353 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"31","4.218134","192.168.0.104","192.168.0.105","TCP","54","[TCP Retransmission] 80  >  58826 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"32","4.561271","192.168.0.104","192.168.0.105","TCP","62","[TCP Retransmission] 80  >  58353 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"33","4.980328","OnePlusT_55:67:a9","Broadcast","ARP","42","Who has 192.168.0.1? Tell 192.168.0.100"
"34","5.026965","192.168.0.105","192.168.0.104","TCP","54","58826  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"35","5.044290","192.168.0.105","192.168.0.104","TCP","54","58353  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"36","5.185344","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"37","5.185345","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 34#1] 58826  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"38","5.185345","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 35#1] 58353  >  80 [ACK] Seq=216 Ack=1 Win=2144 Len=0"
"39","5.199038","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"40","5.394265","192.168.0.105","192.168.0.104","TCP","54","58353  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"41","5.394266","192.168.0.105","192.168.0.104","TCP","62","62901  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"42","5.394476","192.168.0.104","192.168.0.105","TCP","62","80  >  62901 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"43","5.394496","192.168.0.104","192.168.0.105","TCP","54","80  >  58353 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"44","5.446463","192.168.0.105","192.168.0.104","TCP","54","62901  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"45","5.453081","192.168.0.104","224.0.0.251","MDNS","91","Standard query response 0x0000 A, cache flush 192.168.56.1"
"46","5.463279","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"47","5.464234","192.168.0.105","192.168.0.104","TCP","54","58353  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"48","5.471735","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"49","5.504766","192.168.0.105","192.168.0.104","TCP","54","62901  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"50","5.504821","192.168.0.104","192.168.0.105","TCP","54","80  >  62901 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"51","5.504862","192.168.0.104","192.168.0.105","TCP","54","80  >  62901 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"52","5.530995","192.168.0.105","192.168.0.104","TCP","62","56192  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"53","5.531053","192.168.0.104","192.168.0.105","TCP","62","80  >  56192 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"54","5.570375","192.168.0.105","192.168.0.104","TCP","54","62901  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"55","5.600972","192.168.0.105","192.168.0.104","TCP","54","56192  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"56","5.604709","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"57","5.617269","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"58","5.651356","192.168.0.105","192.168.0.104","TCP","54","56192  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"59","5.651449","192.168.0.104","192.168.0.105","TCP","54","80  >  56192 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"60","5.651567","192.168.0.104","192.168.0.105","TCP","54","80  >  56192 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"61","5.659191","192.168.0.105","192.168.0.104","TCP","62","63677  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"62","5.659343","192.168.0.104","192.168.0.105","TCP","62","80  >  63677 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"63","5.727250","192.168.0.105","192.168.0.104","TCP","54","56192  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"64","5.729272","192.168.0.105","192.168.0.104","TCP","54","63677  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"65","5.733780","fe80::a160:a73d:f540:b055","ff02::fb","MDNS","123","Standard query response 0x0000 AAAA, cache flush fe80::f8da:caaa:890a:2905"
"66","5.736479","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"67","5.760334","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"68","5.792046","192.168.0.105","192.168.0.104","TCP","54","63677  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"69","5.792094","192.168.0.104","192.168.0.105","TCP","54","80  >  63677 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"70","5.792182","192.168.0.104","192.168.0.105","TCP","54","80  >  63677 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"71","5.817590","192.168.0.105","192.168.0.104","TCP","62","58871  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"72","5.817747","192.168.0.104","192.168.0.105","TCP","62","80  >  58871 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"73","5.871788","192.168.0.105","192.168.0.104","TCP","54","63677  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"74","5.873936","192.168.0.105","192.168.0.104","TCP","54","58871  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"75","5.877311","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"76","5.892028","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"77","5.913911","192.168.0.105","192.168.0.104","TCP","54","58871  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"78","5.913947","192.168.0.104","192.168.0.105","TCP","54","80  >  58871 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"79","5.914007","192.168.0.104","192.168.0.105","TCP","54","80  >  58871 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"80","5.917026","192.168.0.105","192.168.0.104","TCP","62","59929  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"81","5.917083","192.168.0.104","192.168.0.105","TCP","62","80  >  59929 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"82","5.948347","192.168.0.105","192.168.0.104","TCP","54","58871  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"83","6.009814","192.168.0.105","192.168.0.104","TCP","54","59929  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"84","6.012990","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"85","6.022919","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"86","6.048493","192.168.0.105","192.168.0.104","TCP","54","59929  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"87","6.048527","192.168.0.104","192.168.0.105","TCP","54","80  >  59929 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"88","6.048588","192.168.0.104","192.168.0.105","TCP","54","80  >  59929 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"89","6.080493","192.168.0.105","192.168.0.104","TCP","62","62031  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"90","6.080591","192.168.0.104","192.168.0.105","TCP","62","80  >  62031 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"91","6.082356","192.168.0.105","192.168.0.104","TCP","54","59929  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"92","6.132904","192.168.0.105","192.168.0.104","TCP","54","62031  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"93","6.143408","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"94","6.153141","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"95","6.193847","192.168.0.105","192.168.0.104","TCP","54","62031  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"96","6.193886","192.168.0.104","192.168.0.105","TCP","54","80  >  62031 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"97","6.193943","192.168.0.104","192.168.0.105","TCP","54","80  >  62031 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"98","6.199898","192.168.0.105","192.168.0.104","TCP","62","53458  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"99","6.199971","192.168.0.104","192.168.0.105","TCP","62","80  >  53458 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"100","6.223373","192.168.0.105","192.168.0.104","TCP","54","62031  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"101","6.226370","192.168.0.105","192.168.0.104","TCP","54","53458  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"102","6.240738","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"103","6.269264","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"104","6.287521","192.168.0.105","192.168.0.104","TCP","54","53458  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"105","6.287592","192.168.0.104","192.168.0.105","TCP","54","80  >  53458 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"106","6.287689","192.168.0.104","192.168.0.105","TCP","54","80  >  53458 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"107","6.292845","192.168.0.105","192.168.0.104","TCP","62","62796  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"108","6.292966","192.168.0.104","192.168.0.105","TCP","62","80  >  62796 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"109","6.343886","192.168.0.105","192.168.0.104","TCP","54","53458  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"110","6.355070","192.168.0.105","192.168.0.104","TCP","54","62796  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"111","6.364749","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"112","6.377213","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"113","6.413649","192.168.0.105","192.168.0.104","TCP","54","62796  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"114","6.413698","192.168.0.104","192.168.0.105","TCP","54","80  >  62796 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"115","6.413768","192.168.0.104","192.168.0.105","TCP","54","80  >  62796 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"116","6.420829","192.168.0.105","192.168.0.104","TCP","62","54825  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"117","6.420931","192.168.0.104","192.168.0.105","TCP","62","80  >  54825 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"118","6.450624","192.168.0.105","192.168.0.104","TCP","54","62796  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"119","6.478237","192.168.0.105","192.168.0.104","TCP","54","54825  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"120","6.522631","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"121","6.530710","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"122","6.561442","192.168.0.105","192.168.0.104","TCP","54","54825  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"123","6.561473","192.168.0.104","192.168.0.105","TCP","54","80  >  54825 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"124","6.561526","192.168.0.104","192.168.0.105","TCP","54","80  >  54825 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"125","6.562893","192.168.0.105","192.168.0.104","TCP","62","63893  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"126","6.562935","192.168.0.104","192.168.0.105","TCP","62","80  >  63893 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"127","6.582849","192.168.0.105","192.168.0.104","TCP","54","54825  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"128","6.587213","192.168.0.105","192.168.0.104","TCP","54","63893  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"129","6.603864","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"130","6.612294","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"131","6.664628","192.168.0.105","192.168.0.104","TCP","54","63893  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"132","6.664666","192.168.0.104","192.168.0.105","TCP","54","80  >  63893 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"133","6.664763","192.168.0.104","192.168.0.105","TCP","54","80  >  63893 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"134","6.675549","192.168.0.105","192.168.0.104","TCP","62","55958  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"135","6.675617","192.168.0.104","192.168.0.105","TCP","62","80  >  55958 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"136","6.703731","192.168.0.105","192.168.0.104","TCP","54","63893  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"137","6.713729","192.168.0.105","192.168.0.104","TCP","54","55958  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"138","6.739367","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"139","6.747240","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"140","6.769791","192.168.0.105","192.168.0.104","TCP","54","55958  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"141","6.769827","192.168.0.104","192.168.0.105","TCP","54","80  >  55958 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"142","6.769886","192.168.0.104","192.168.0.105","TCP","54","80  >  55958 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"143","6.771688","192.168.0.105","192.168.0.104","TCP","62","65337  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"144","6.771744","192.168.0.104","192.168.0.105","TCP","62","80  >  65337 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"145","6.793114","192.168.0.105","192.168.0.104","TCP","54","55958  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"146","6.813746","192.168.0.105","192.168.0.104","TCP","54","65337  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"147","6.816859","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"148","6.826171","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"149","6.880509","192.168.0.105","192.168.0.104","TCP","54","65337  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"150","6.880564","192.168.0.104","192.168.0.105","TCP","54","80  >  65337 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"151","6.880636","192.168.0.104","192.168.0.105","TCP","54","80  >  65337 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"152","6.882594","192.168.0.105","192.168.0.104","TCP","62","62308  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"153","6.882688","192.168.0.104","192.168.0.105","TCP","62","80  >  62308 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"154","6.899554","192.168.0.105","192.168.0.104","TCP","54","65337  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"155","6.930732","192.168.0.105","192.168.0.104","TCP","54","62308  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"156","6.934649","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"157","6.955935","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"158","6.986290","192.168.0.105","192.168.0.104","TCP","54","62308  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"159","6.986337","192.168.0.104","192.168.0.105","TCP","54","80  >  62308 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"160","6.986417","192.168.0.104","192.168.0.105","TCP","54","80  >  62308 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"161","7.028462","192.168.0.105","192.168.0.104","TCP","62","64179  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"162","7.028619","192.168.0.104","192.168.0.105","TCP","62","80  >  64179 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"163","7.046227","192.168.0.105","192.168.0.104","TCP","54","62308  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"164","7.054052","192.168.0.105","192.168.0.104","TCP","54","64179  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"165","7.061937","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"166","7.087012","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"167","7.102350","192.168.0.105","192.168.0.104","TCP","54","64179  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"168","7.102398","192.168.0.104","192.168.0.105","TCP","54","80  >  64179 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"169","7.102474","192.168.0.104","192.168.0.105","TCP","54","80  >  64179 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"170","7.120858","192.168.0.105","192.168.0.104","TCP","62","63845  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"171","7.120913","192.168.0.104","192.168.0.105","TCP","62","80  >  63845 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"172","7.162653","192.168.0.105","192.168.0.104","TCP","54","64179  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"173","7.165435","192.168.0.105","192.168.0.104","TCP","54","63845  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"174","7.186104","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=50.00 HTTP/1.1 "
"175","7.211022","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"176","7.235120","192.168.0.105","192.168.0.104","TCP","54","63845  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"177","7.235162","192.168.0.104","192.168.0.105","TCP","54","80  >  63845 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"178","7.235225","192.168.0.104","192.168.0.105","TCP","54","80  >  63845 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"179","7.247076","192.168.0.105","192.168.0.104","TCP","62","60069  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"180","7.247141","192.168.0.104","192.168.0.105","TCP","62","80  >  60069 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"181","7.288371","192.168.0.105","192.168.0.104","TCP","54","63845  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"182","7.290238","192.168.0.105","192.168.0.104","TCP","54","60069  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"183","7.297146","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"184","7.327671","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"185","7.342735","192.168.0.105","192.168.0.104","TCP","54","60069  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"186","7.342845","192.168.0.104","192.168.0.105","TCP","54","80  >  60069 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"187","7.342964","192.168.0.104","192.168.0.105","TCP","54","80  >  60069 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"188","7.345946","192.168.0.105","192.168.0.104","TCP","62","62690  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"189","7.346122","192.168.0.104","192.168.0.105","TCP","62","80  >  62690 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"190","7.357692","192.168.0.105","192.168.0.104","TCP","54","60069  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"191","7.365785","192.168.0.105","192.168.0.104","TCP","54","62690  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"192","7.369021","192.168.0.105","192.168.0.104","HTTP","269","GET /ids/server.php?data=49.00 HTTP/1.1 "
"193","7.395009","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"194","7.442396","192.168.0.105","192.168.0.104","TCP","54","62690  >  80 [FIN, ACK] Seq=216 Ack=284 Win=1861 Len=0"
"195","7.442469","192.168.0.104","192.168.0.105","TCP","54","80  >  62690 [ACK] Seq=284 Ack=217 Win=65177 Len=0"
"196","7.442565","192.168.0.104","192.168.0.105","TCP","54","80  >  62690 [FIN, ACK] Seq=284 Ack=217 Win=65177 Len=0"
"197","7.443927","192.168.0.105","192.168.0.104","TCP","62","55542  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"198","7.444047","192.168.0.104","192.168.0.105","TCP","62","80  >  55542 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"199","7.461603","192.168.0.105","192.168.0.104","TCP","54","62690  >  80 [ACK] Seq=217 Ack=285 Win=1860 Len=0"
"200","7.472256","192.168.0.105","192.168.0.104","TCP","54","55542  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"201","7.477253","192.168.0.105","192.168.0.104","HTTP","268","GET /ids/server.php?data=4.00 HTTP/1.1 "
"202","7.487888","192.168.0.104","192.168.0.105","HTTP","337","HTTP/1.1 200 OK  (text/html)"
